"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","","","","",""
"","","Mean year ended","","","",""
" "," ",2014,2015,2016,2017,2018
"Male","0 Years",30000,30310,30590,30780,30660
" ","1 Years",31030,30230,30580,30910,31000
" ","2 Years",31700,31410,30750,31130,31380
" ","3 Years",32420,32110,31950,31350,31670
" ","4 Years",33090,32770,32590,32470,31860
" ","5 Years",33140,33430,33240,33120,32990
" ","6 Years",32900,33440,33810,33710,33560
" ","7 Years",31660,33130,33750,34210,34060
" ","8 Years",30070,31900,33480,34170,34580
" ","9 Years",29800,30280,32240,33810,34530
" ","10 Years",29860,30020,30620,32660,34140
" ","11 Years",29440,30070,30330,31020,33000
" ","12 Years",29440,29670,30380,30690,31380
" ","13 Years",30950,29660,30000,30710,31010
" ","14 Years",31830,31210,30050,30410,31080
" ","15 Years",31280,32240,31740,30590,30930
" ","16 Years",31900,31770,32860,32360,31120
" ","17 Years",32120,32370,32310,33350,32790
" ","18 Years",32890,32840,32910,32690,33640
" ","19 Years",33230,34190,33890,33640,33200
" ","20 Years",33200,34620,35340,34620,34230
" ","21 Years",33210,34240,35410,35720,34940
" ","22 Years",33190,34350,34950,35610,35870
" ","23 Years",33090,34460,35320,35360,35820
" ","24 Years",31730,34110,35410,35850,35570
" ","25 Years",30390,32740,35080,35920,36020
" ","26 Years",29150,31280,33710,35590,36190
" ","27 Years",28110,30030,32200,34380,35980
" ","28 Years",27390,29110,31050,32940,34910
" ","29 Years",27000,28380,30280,31990,33560
" ","30 Years",26950,27970,29480,31290,32750
" ","31 Years",27260,27800,28950,30520,32110
" ","32 Years",26670,27950,28740,29830,31290
" ","33 Years",26460,27310,28760,29520,30540
" ","34 Years",26130,27080,28080,29570,30290
" ","35 Years",25710,26730,27770,28810,30290
" ","36 Years",25360,26250,27360,28490,29520
" ","37 Years",25900,25810,26850,28070,29140
" ","38 Years",26240,26330,26350,27460,28690
" ","39 Years",27180,26630,26780,26890,28070
" ","40 Years",28300,27530,27130,27270,27420
" ","41 Years",29210,28610,27930,27560,27740
" ","42 Years",30440,29500,29030,28360,28020
" ","43 Years",30750,30730,29880,29410,28750
" ","44 Years",30270,30960,31050,30200,29790
" ","45 Years",30410,30450,31210,31370,30520
" ","46 Years",29920,30580,30690,31440,31610
" ","47 Years",29560,30020,30720,30870,31660
" ","48 Years",29760,29620,30150,30860,31000
" ","49 Years",30030,29800,29670,30220,30990
" ","50 Years",30920,30070,29860,29710,30270
" ","51 Years",31280,30890,30080,29900,29730
" ","52 Years",31200,31280,30940,30110,29840
" ","53 Years",30490,31190,31280,30940,30070
" ","54 Years",29440,30480,31210,31240,30870
" ","55 Years",28740,29430,30430,31160,31190
" ","56 Years",27670,28710,29420,30380,31070
" ","57 Years",27350,27620,28700,29410,30320
" ","58 Years",26650,27280,27580,28660,29350
" ","59 Years",25550,26610,27280,27480,28560
" ","60 Years",24950,25580,26630,27270,27400
" ","61 Years",24120,24930,25590,26620,27200
" ","62 Years",23880,24070,24890,25550,26520
" ","63 Years",23480,23820,23990,24840,25420
" ","64 Years",23210,23430,23750,23900,24760
" ","65 Years",23080,23110,23350,23660,23820
" ","66 Years",22930,22910,22990,23200,23490
" ","67 Years",22570,22720,22740,22810,23010
" ","68 Years",19410,22320,22550,22490,22580
" ","69 Years",17800,19160,22080,22260,22240
" ","70 Years",16640,17540,18900,21780,21950
" ","71 Years",15150,16350,17280,18630,21450
" ","72 Years",15940,14860,16060,16970,18290
" ","73 Years",15370,15580,14550,15730,16610
" ","74 Years",13960,15000,15180,14210,15400
" ","75 Years",12330,13590,14590,14810,13830
" ","76 Years",11480,11930,13190,14150,14390
" ","77 Years",10540,11090,11540,12750,13690
" ","78 Years",9690,10130,10660,11130,12280
" ","79 Years",9060,9300,9720,10210,10670
" ","80 Years",8380,8640,8880,9260,9720
" ","81 Years",7700,7940,8190,8390,8740
" ","82 Years",7390,7200,7470,7710,7880
" ","83 Years",6980,6880,6730,6990,7180
" ","84 Years",6090,6460,6360,6210,6500
" ","85 Years",5430,5560,5910,5790,5670
" ","86 Years",4750,4870,5050,5320,5240
" ","87 Years",4070,4170,4340,4530,4730
" ","88 Years",3340,3550,3680,3830,3990
" ","89 Years",2730,2860,3070,3180,3310
" ","90 Years and over",8040,8540,9170,9850,10470
"Female","0 Years",28320,28500,28960,29350,29170
" ","1 Years",29550,28600,28840,29250,29570
" ","2 Years",30200,29890,29020,29340,29670
" ","3 Years",30760,30560,30420,29570,29860
" ","4 Years",31420,31110,31030,30930,30030
" ","5 Years",30910,31720,31550,31550,31400
" ","6 Years",31260,31170,32050,31950,31970
" ","7 Years",30190,31470,31470,32420,32300
" ","8 Years",28870,30400,31760,31860,32750
" ","9 Years",28310,29070,30670,32130,32200
" ","10 Years",28440,28530,29360,31030,32450
" ","11 Years",28010,28640,28840,29670,31340
" ","12 Years",28410,28210,28930,29180,29960
" ","13 Years",29590,28600,28450,29240,29520
" ","14 Years",29980,29860,28920,28850,29560
" ","15 Years",29420,30400,30430,29440,29320
" ","16 Years",30250,29900,30980,31030,29930
" ","17 Years",30570,30710,30400,31490,31430
" ","18 Years",30730,30950,31040,30730,31740
" ","19 Years",31030,31240,31480,31470,31030
" ","20 Years",31150,31540,31860,31920,31920
" ","21 Years",31620,31440,31990,32170,32270
" ","22 Years",31540,31920,31950,32360,32410
" ","23 Years",32200,32220,32710,32630,32840
" ","24 Years",31500,33030,33240,33530,33220
" ","25 Years",30390,32450,34230,34150,34300
" ","26 Years",30160,31470,33820,35400,35120
" ","27 Years",29220,31410,32820,35040,36510
" ","28 Years",28970,30430,32870,34170,36180
" ","29 Years",29150,30050,31790,34180,35210
" ","30 Years",29050,30150,31280,32980,35180
" ","31 Years",29280,29890,31300,32290,33890
" ","32 Years",28930,29920,30810,32210,33130
" ","33 Years",28650,29560,30700,31580,32800
" ","34 Years",28640,29220,30260,31460,32240
" ","35 Years",28490,29100,29820,30950,32090
" ","36 Years",28050,28930,29680,30430,31550
" ","37 Years",28380,28410,29450,30260,30950
" ","38 Years",28580,28770,28900,29950,30750
" ","39 Years",30020,28890,29170,29340,30360
" ","40 Years",31230,30320,29270,29600,29710
" ","41 Years",32570,31500,30690,29650,29920
" ","42 Years",33620,32800,31820,31030,29930
" ","43 Years",34200,33830,33070,32100,31240
" ","44 Years",33420,34380,34080,33340,32320
" ","45 Years",33260,33560,34570,34320,33560
" ","46 Years",32650,33320,33690,34710,34460
" ","47 Years",32220,32660,33410,33790,34780
" ","48 Years",31760,32250,32750,33500,33840
" ","49 Years",32050,31740,32290,32810,33540
" ","50 Years",33000,32040,31770,32300,32800
" ","51 Years",33760,33000,32090,31800,32310
" ","52 Years",33330,33740,32980,32070,31800
" ","53 Years",32690,33290,33760,32990,32050
" ","54 Years",31330,32670,33300,33760,32970
" ","55 Years",30440,31320,32650,33270,33740
" ","56 Years",29330,30470,31360,32660,33250
" ","57 Years",28820,29360,30500,31360,32630
" ","58 Years",28040,28860,29410,30530,31330
" ","59 Years",27110,28060,28940,29470,30480
" ","60 Years",26370,27180,28110,28980,29460
" ","61 Years",25660,26390,27280,28110,29000
" ","62 Years",24940,25640,26420,27280,28120
" ","63 Years",24510,24960,25650,26430,27250
" ","64 Years",24350,24440,24960,25640,26390
" ","65 Years",23800,24290,24410,24930,25570
" ","66 Years",23940,23710,24200,24350,24860
