"Deaths by age and sex (Annual-Dec)","","","","","",""
"","",2014,2015,2016,2017,2018
"Male","Less than 1 year",183,129,111,123,114
" ","1 year",12,12,12,15,12
" ","2 years",6,6,6,3,3
" ","3 years",9,3,6,6,6
" ","4 years",6,6,3,6,3
" ","5 years",6,6,9,6,3
" ","6 years",3,3,3,0,3
" ","7 years",9,0,6,3,3
" ","8 years",3,3,3,6,3
" ","9 years",3,6,3,3,6
" ","10 years",3,3,0,6,0
" ","11 years",3,6,0,0,3
" ","12 years",0,3,3,3,6
" ","13 years",3,6,3,6,6
" ","14 years",6,6,9,6,3
" ","15 years",12,12,9,9,15
" ","16 years",15,6,12,9,15
" ","17 years",21,15,21,15,18
" ","18 years",15,27,21,24,24
" ","19 years",24,33,21,27,24
" ","20 years",21,21,18,30,21
" ","21 years",21,27,30,30,27
" ","22 years",27,24,21,24,30
" ","23 years",21,21,33,24,24
" ","24 years",27,39,18,36,36
" ","25 years",21,27,33,36,27
" ","26 years",27,18,30,33,27
" ","27 years",24,27,21,33,39
" ","28 years",18,21,24,27,21
" ","29 years",12,24,24,30,24
" ","30 years",21,18,21,24,33
" ","31 years",18,21,33,24,33
" ","32 years",24,24,27,33,27
" ","33 years",27,27,21,24,24
" ","34 years",21,21,24,27,33
" ","35 years",24,27,33,27,33
" ","36 years",30,27,36,27,30
" ","37 years",36,18,24,30,30
" ","38 years",30,24,21,36,30
" ","39 years",33,27,24,33,27
" ","40 years",39,33,39,39,45
" ","41 years",36,39,36,39,36
" ","42 years",42,48,39,45,39
" ","43 years",45,42,54,51,54
" ","44 years",54,51,57,60,51
" ","45 years",48,63,54,69,57
" ","46 years",63,60,51,57,57
" ","47 years",72,63,84,66,60
" ","48 years",69,84,72,84,84
" ","49 years",90,69,81,96,78
" ","50 years",84,87,87,84,96
" ","51 years",108,96,111,87,105
" ","52 years",99,96,93,105,108
" ","53 years",129,114,114,132,105
" ","54 years",141,123,138,141,129
" ","55 years",126,132,153,129,150
" ","56 years",147,147,162,129,159
" ","57 years",129,135,141,147,159
" ","58 years",141,159,168,165,180
" ","59 years",162,153,174,195,213
" ","60 years",174,180,168,201,183
" ","61 years",183,183,180,216,183
" ","62 years",180,195,222,201,234
" ","63 years",201,213,207,234,225
" ","64 years",213,219,216,231,252
" ","65 years",234,240,264,246,225
" ","66 years",267,288,252,246,279
" ","67 years",324,285,276,294,285
" ","68 years",282,300,291,306,273
" ","69 years",285,282,339,330,324
" ","70 years",294,300,300,357,357
" ","71 years",276,342,267,309,396
" ","72 years",366,315,321,351,375
" ","73 years",396,399,327,378,357
" ","74 years",324,405,408,363,357
" ","75 years",384,405,390,420,369
" ","76 years",384,423,381,477,420
" ","77 years",384,426,426,456,465
" ","78 years",393,399,435,459,513
" ","79 years",444,393,426,474,477
" ","80 years",435,462,462,495,486
" ","81 years",459,453,486,489,528
" ","82 years",525,474,450,492,528
" ","83 years",525,522,474,504,546
" ","84 years",564,540,537,555,522
" ","85 years",534,513,582,567,501
" ","86 years",597,549,504,627,525
" ","87 years",543,537,558,534,600
" ","88 years",477,501,465,492,528
" ","89 years",393,462,450,522,516
" ","90 years",429,423,459,429,489
" ","91 years",345,363,348,381,432
" ","92 years",264,297,300,342,351
" ","93 years",252,255,243,294,285
" ","94 years",216,216,222,225,249
" ","95 years",132,162,171,180,177
" ","96 years",120,87,102,135,126
" ","97 years",78,69,78,93,99
" ","98 years",51,51,45,51,54
" ","99 years",33,36,36,39,27
" ","100 years and over",48,54,48,75,48
"Female","Less than 1 year",147,123,99,108,105
" ","1 year",15,9,3,12,12
" ","2 years",3,6,6,0,9
" ","3 years",3,3,0,3,0
" ","4 years",3,6,0,0,6
